SITE_NAME,LATITUDE_NAD83,LONGITUDE_NAD83,TEMP_C,pH_lab_weighted,TOTAL_DEPTH_M
Bennet Springs (316),37.7835944280001,-114.529285455,22,7.67,
Silver Peak Alkali Hot Hot Springs,37.8246990210001,-117.337658644,50,7.53,
Colson Pond,37.073945098,-116.691146188,28,8.19,
Reveille Mill Spring,38.004723299,-116.363826855,28.9,8.66,
Hot Springs Ranch (348),39.4047711320001,-116.347662886,61,9.40,
Earth Dam Warm Springs,36.999141164,-116.70777899,21,8.18,
Mineral Hot Bath,36.974269076,-116.722255108,41,8.30,
Little Fish Lake Valley HS,38.6952451600001,-116.436778855,40,8.22,
Angel Ladies Brothel. ,36.9421744150001,-116.728683152,33,8.24,
Spencer Hot Springs,39.32715268,-116.855809612,57,7.58,
Storm Spring,38.398278535,-115.862333115,40,8.14,
Flowing Well (328),38.936501316,-114.418965404,23,8.18,
Panaca Springs (314),37.8069819350001,-114.381053528,28,8.04,
Pyramid Spring (R.V.),37.931599636,-116.118783657,26,8.35,
Blue Jay Station Well,38.4636033580001,-115.79281151,61,7.40,
Sunnyside Creek (196),38.3793285890001,-115.151537926,30,7.96,
NWIS Well  (C- 1-18)11ccd- 2,40.74854,-113.86334,15,6.5,231.7
NWIS Well  (B- 4-18)17aaa- 1,41.06937,-113.92667,23,6.7,350.6
NWIS Well  (B- 4-18)17aaa- 1,41.06937,-113.92667,23,6.7,350.6
NWIS Well  (B- 1-17)29dac- 1,40.79576,-113.80667,15,6.4,243.9
NWIS Well  (C- 1-17)18cab- 1,40.73910,-113.82250,14.5,6.4,231.7
NWIS Well  (B- 5-18)32ddc- 1,41.10076,-113.92779,25,6.6,368
NWIS Well  (B- 4-18) 1cbc- 1,41.08882,-113.86556,24,6.5,364.6
NWIS Well  (B- 1-16)19bad- 1,40.81743,-113.71833,23,6.9,243.9
NWIS Well  (B- 1-17)22aad- 1,40.81743,-113.76528,21,6.3,243.9
NWIS Well  (B- 1-17)31acc- 3,40.78437,-113.82973,20,6.7,243.9
NWIS Well  (B- 1-17)31acc- 3,40.78437,-113.82973,19,6.7,243.9
NWIS Well  (C- 1-17)17bba- 1,40.74715,-113.80667,21,6.6,231.7
NWIS Well  (B- 1-17)11aac- 1,40.84743,-113.74834,14.5,6.5,274.4
NWIS Well  (B- 4-18)17ddd- 1,41.05659,-113.92640,24,6.7,322.3
NWIS Well  (B- 2-17)36ddd- 1,40.86382,-113.72695,16,6.7,287.5
NWIS Well  (B- 1-17)12dcc- 1,40.83521,-113.73445,17,6.7,243.9
NWIS Well  (B- 1-17)23bad- 2,40.81771,-113.75750,22,6.7,243.9
NWIS Well  (B- 1-17)23abd- 1,40.81743,-113.75028,19,6.6,243.9
NWIS Well  (B- 1-17)29dac- 1,40.79576,-113.80667,21,6.4,243.9
NWIS Well  (B- 1-17)31acc- 1,40.78437,-113.82973,15,6.5,243.9
NWIS Well  (C- 1-17) 4bba- 1,40.77632,-113.78806,18.5,6.4,230.5
NWIS Well  (C- 1-18) 3dcd- 2,40.76326,-113.87139,19,6.5,240.9
NWIS Well  (C- 1-18)11ccd- 2,40.74854,-113.86334,23,6.6,231.7
NWIS Well  (C- 1-18)11ccd- 1,40.74854,-113.86334,25,6.6,231.7
NWIS Well  (B- 1-17)31acc- 1,40.78437,-113.82973,14.5,6.7,243.9
NWIS Well  (B- 4-18)17ddd- 1,41.05659,-113.92640,21,6.8,322.3
NWIS Well  (B- 1-17)11aac- 1,40.84743,-113.74834,17,6.5,274.4
NWIS Well  (B- 1-17)12dcc- 1,40.83521,-113.73445,18,6.5,243.9
NWIS Well  (B- 1-17)24bbd- 1,40.81743,-113.74139,20,6.6,243.9
NWIS Well  (B- 1-17)22abd- 1,40.81660,-113.77167,15,6.6,243.9
NWIS Well  (B- 1-17)22abd- 1,40.81660,-113.77167,23,6.6,243.9
NWIS Well  (B- 1-17)22bca- 1,40.81549,-113.78000,19,6.7,243.9
NWIS Well  (B- 1-17)21add- 3,40.81465,-113.78472,15,6.7,243.9
NWIS Well  (B- 1-17)21add- 3,40.81465,-113.78472,17,6.3,243.9
NWIS Well  (B- 1-17)19dad- 2,40.80965,-113.82389,18,6.3,243.9
NWIS Well  (B- 1-17)26cad- 1,40.79549,-113.75695,19,6.7,243.9
NWIS Well  (B- 1-17)26cad- 1,40.79549,-113.75695,27,6.9,243.9
NWIS Well  (B- 1-17)31acc- 1,40.78437,-113.82973,11.5,6.5,243.9
NWIS Well  (B- 1-17)34ddd- 1,40.77687,-113.76556,21,6.6,230.5
NWIS Well  (C- 1-17)17bba- 1,40.74715,-113.80667,20.5,6.1,231.7
NWIS Well  (C- 1-17)18cab- 1,40.73910,-113.82250,15,6.5,231.7
NWIS Well  (C- 1-18)13cdb- 1,40.73576,-113.84139,18,6.8,231.7
NWIS Well  (B- 4-18)33ccc- 1,41.01159,-113.92445,19,6.8,311.9
NWIS Well  (B- 5-18)32ddc- 1,41.10076,-113.92779,19.5,6.9,359.8
NWIS Well  (B- 4-18) 1cbc- 1,41.08882,-113.86556,20,6.8,364.6
NWIS Well  (B- 2-17)36ddd- 1,40.86382,-113.72695,17,6.6,287.5
NWIS Well  (B- 1-17)23abd- 1,40.81743,-113.75028,16,6.8,243.9
NWIS Well  (B- 1-17)31acc- 2,40.78437,-113.82973,21,6.6,243.9
NWIS Well  (B- 1-17)36dac- 1,40.78104,-113.73445,19.5,6.9,243.9
NWIS Well  (B- 1-17)36dac- 1,40.78104,-113.73445,26,7,243.9
NWIS Well  (B- 1-17)34ddd- 1,40.77687,-113.76556,16,6.7,230.5
NWIS Well  (C- 1-17)10aac- 1,40.75965,-113.75556,19,6.8,240.9
NWIS Well  (C- 1-18)17acb- 1,40.74299,-113.91334,17,6.9,231.7
NWIS Well  (C- 1-17)15dbd- 1,40.73743,-113.75917,21,6.8,231.7
NWIS Well  (C- 1-17)15dbd- 1,40.73743,-113.75917,22,6.6,231.7
NWIS Well  (B- 4-17) 6bbb- 1,41.09993,-113.84640,22,6.8,364.3
NWIS Well  (B- 1-18)23aaa- 1,40.82021,-113.86000,21,6.1,243.9
NWIS Well  (B- 1-17)31acc- 2,40.78437,-113.82973,14,6.5,243.9
NWIS Well  (B- 1-17)31acc- 2,40.78437,-113.82973,14,6.5,243.9
NWIS Well  (C- 1-17) 4bba- 1,40.77632,-113.78806,16,6.7,230.5
NWIS Well  (C- 1-18)17bdb- 1,40.74382,-113.92390,16.5,6.5,231.7
NWIS Well  (B- 4-18)33ccc- 1,41.01159,-113.92445,18,6.9,311.9
NWIS Well  (B- 2-17)33dcc- 1,40.86410,-113.79361,16,6.9,287.5
NWIS Well  (B- 1-18)34bbb- 1,40.79076,-113.89778,16,7,243.9
NWIS Well  (B- 4-17) 4bbb- 1,41.09993,-113.80806,22,6.9,365.9
NWIS Well  (B- 1-18)23aaa- 1,40.82021,-113.86000,16,7,243.9
NWIS Well  (C- 1-17)15dcc- 1,40.73493,-113.76111,23,6.8,231.7
NWIS Well 025S041E31C001M,35.72829,-117.60590,18.9,9.3,23.8
NWIS Well  (B- 4-17)31ccc- 1,41.01104,-113.84778,19,7.1,324.4
NWIS Well  (B- 4-17)31ccc- 1,41.01104,-113.84778,19,7,324.4
NWIS Well  (B- 4-17) 4bbb- 1,41.09993,-113.80806,15,7.2,347.6
NWIS Well  (B- 1-17)21add- 4,40.81465,-113.78472,14,6.6,243.9
NWIS Well  (C- 1-18) 9adc- 2,40.75687,-113.88778,14,7,240.9
NWIS Well  (B- 1-17)11aac- 2,40.84743,-113.74834,14,6.7,274.4
NWIS Well  (B- 1-17)31acc- 5,40.78437,-113.82973,16,8.5,243.9
NWIS Well  (B- 2-17)22ddd- 1,40.89326,-113.76389,13.5,7.2,300
NWIS Well  (B- 1-17)31acc- 7,40.78437,-113.82973,12,6.9,243.9
NWIS Well  (B- 4-17) 6bbb- 1,41.09993,-113.84640,17,6.9,365.9
NWIS Well  (B- 1-17)23abd- 2,40.81743,-113.75028,13,6.9,243.9
NWIS Well  (B- 1-17)31acc- 6,40.78437,-113.82973,15,7.4,243.9
NWIS Well 026S040E01A001M,35.70884,-117.61673,20,9.4,23.5
NWIS Spring 29-119-26cac01,42.46715,-110.96714,10,6.6,62.2
NWIS Well  (C-19-11)34dcc- 1,39.10884,-113.07579,19.5,7.6,51.8
NWIS Well  (C-20-12)10dcd- 2,39.08023,-113.18413,18,7.3,
NWIS Well  (C-20-12)10dcd- 1,39.07968,-113.18496,17.5,7.7,
NWIS Well  (B- 1-17)31acc- 4,40.78437,-113.82973,17,8.8,243.9
NWIS Well  (B- 4-18) 6cca- 3,41.08687,-113.96029,15,7.3,364.3
NWIS Well 030S038E03B001M,35.36024,-117.88757,,6.9,30.2
NWIS Well  (B- 1-18)32ccc- 1,40.77687,-113.93612,15.5,7.1,240.9
NWIS Well  (B- 4-18) 6cca- 3,41.08687,-113.96029,16,7,364.3
NWIS Well  (C- 1-19)11ccc- 1,40.74826,-113.97890,27,7.2,231.7
NWIS Well  (C-23-11) 7bbc- 2,38.83135,-113.13718,15,7.5,61
NWIS Well 030S038E03B001M,35.36024,-117.88757,23,6.7,30.2
NWIS Well  (C- 1-18) 6abb- 2,40.77521,-113.93251,20,7.3,230.5
NWIS Well  (C-22- 1)11bdb- 1,38.90830,-111.88104,13.5,6.9,64
NWIS Well  (C- 1-18) 6adc- 2,40.77021,-113.92584,16,7,195.1
NWIS Well  (C-23-11) 7bbc- 1,38.83135,-113.13829,18.5,7.9,61
NWIS Well  (C- 1-18) 6adc- 1,40.77021,-113.92584,22,7.3,195.1
NWIS Well  (B- 1-18)32ccc- 1,40.77687,-113.93612,20,7.2,237.8
NWIS Well  (C- 1-18) 6abb- 1,40.77521,-113.93251,17,7.3,230.5
NWIS Well 028 N33 E24 21CA 1,40.71232,-119.26022,12.1,8.9,
NWIS Well  (B- 3-18)32ccc- 1,40.95076,-113.93640,18,7.1,309.8
NWIS Well  (C- 1-19)11ccc- 1,40.74826,-113.97890,13.5,7.3,231.7
NWIS Well  (C- 1-18) 6abb- 3,40.77521,-113.93251,17,7.3,230.5
NWIS Well 025S040E25H001M,35.73273,-117.61729,,7.3,23.8
NWIS Well 025S040E24H001M,35.75079,-117.61756,,7.3,24.1
NWIS Well 026S040E01J001M,35.69857,-117.61812,21.5,7.8,
NWIS Well  (B- 1-18)12bab- 2,40.84771,-113.85362,18,7.7,274.4
NWIS Well  (C-20-12)10dcd- 3,39.08023,-113.18496,17.5,7.2,
NWIS Well  (C-23-11) 7bdb- 1,38.82940,-113.13302,13,7.3,61
NWIS Well 026S040E01J001M,35.69857,-117.61812,19.5,7.8,
NWIS Well 030S038E03B001M,35.36024,-117.88757,24,6.9,30.2
NWIS Well  (B- 3-18)32ccc- 1,40.95076,-113.93640,19,7.4,309.8
NWIS Well  (B- 1-18)12bab- 2,40.84771,-113.85362,11,7.4,274.4
USGS Lead Lake Well 6,39.61797,-118.49097,16.4,7.5,
USGS Lead Lake Well 6,39.61797,-118.49097,15.5,7.5,
USFWS Well NP-20,39.55297,-118.51403,14,6.9,
NWIS Well  (B- 3-19)26baa- 1,40.95215,-113.99306,15.5,7.2,309.8
USGS Lead Lake Well 6,39.61797,-118.49097,15,7.5,
NWIS Well  (C- 6- 5) 9acb- 1,40.31411,-112.40940,12,7.2,152.4
NWIS Well  (C-19-11)34dcc- 2,39.10912,-113.07635,15,7.3,51.8
NWIS Well  (C- 6- 5) 9acb- 1,40.31411,-112.40940,12,7,152.4
NWIS Well  (C- 6- 5) 9acb- 1,40.31411,-112.40940,13,7,152.4
USGS Lead Lake Well 8,39.62186,-118.51014,13.5,7.3,
USGS Lead Lake Well 8,39.62186,-118.51014,15,7.3,
SPRING AT WESTERN EDGE OF TOPAZ SLOUGH,39.45634,-112.79134,24.5,7.3,77.7
NWIS Well 026S040E11A001M,35.69384,-117.63701,28.3,9.3,22.9
NWIS Well 030S038E03B001M,35.36024,-117.88757,24,6.9,30.2
